song_id,filename,valence_pred,arousal_pred,mood_basic_pred,mood_detailed_pred,actual_quadrant,actual_mood,pred_quadrant,correct
A132-121,A132-121.mp3,0.7284205386669592,0.70231924573574,Happy/Energetic,Excited/Euphoric,Q1,Happy/Energetic,Q1,True
A146-118,A146-118.mp3,0.6387414856150793,0.7991424882756132,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A148-102,A148-102.mp3,0.6544169444444445,0.729098075601193,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A152-108,A152-108.mp3,0.6436890699404765,0.8691949350649353,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A153-130,A153-130.mp3,0.7357035863095236,0.7472586289530367,Happy/Energetic,Excited/Euphoric,Q1,Happy/Energetic,Q1,True
A160-149,A160-149.mp3,0.7297950638334365,0.6826677008928569,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A162,A162.mp3,0.6981500345006121,0.6211956550714326,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A166,A166.mp3,0.7737800983044734,0.7267964217722634,Happy/Energetic,Excited/Euphoric,Q1,Happy/Energetic,Q1,True
A167,A167.mp3,0.7399450982524418,0.721988729807102,Happy/Energetic,Excited/Euphoric,Q1,Happy/Energetic,Q1,True
A187,A187.mp3,0.6652735934427235,0.6673283253605616,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A196,A196.mp3,0.5989000622294373,0.6687665821842104,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000040632,MT0000040632.mp3,0.6546867573051948,0.607924052579365,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0000040773,MT0000040773.mp3,0.5652967956349206,0.5264849280753968,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000045345,MT0000045345.mp3,0.6883634536438121,0.517275875175663,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000080053,MT0000080053.mp3,0.6574586235119045,0.47820672619047605,Content/Relaxed,Neutral/Balanced,Q1,Happy/Energetic,Q4,False
MT0000091401,MT0000091401.mp3,0.6874980721882282,0.5675391482665701,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000093583,MT0000093583.mp3,0.6556629635989012,0.5356272282037817,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000103874,MT0000103874.mp3,0.6338523473054722,0.5088231438022847,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000104363,MT0000104363.mp3,0.688702450105042,0.6621045892486009,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0000105492,MT0000105492.mp3,0.6996170956777595,0.6211475595238093,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0000110175,MT0000110175.mp3,0.7647202190796943,0.580747528417642,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000113311,MT0000113311.mp3,0.596607571396531,0.5117669482774171,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000119987,MT0000119987.mp3,0.6993814632266195,0.6201284601903863,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0000128573,MT0000128573.mp3,0.6456380180786907,0.4648723363095238,Content/Relaxed,Neutral/Balanced,Q1,Happy/Energetic,Q4,False
MT0000146966,MT0000146966.mp3,0.6533744739808803,0.5479970348444633,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000161127,MT0000161127.mp3,0.7206068584085937,0.628217951151553,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0000174580,MT0000174580.mp3,0.7566702502029734,0.5872208380732628,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000185601,MT0000185601.mp3,0.6800007396596459,0.5423494000270561,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000197431,MT0000197431.mp3,0.714082010845058,0.5774796354166666,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000204016,MT0000204016.mp3,0.6389768037954429,0.5991298387896825,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000225806,MT0000225806.mp3,0.7503382772299814,0.5907183286078642,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000245808,MT0000245808.mp3,0.6806668897585187,0.5522521281761348,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000249842,MT0000249842.mp3,0.5869316770787631,0.5486847321358677,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000252574,MT0000252574.mp3,0.5887166195436508,0.5675935680342609,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000271454,MT0000271454.mp3,0.6999115485556112,0.539907317595599,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000302038,MT0000302038.mp3,0.6430644433170997,0.5950936443096431,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000310204,MT0000310204.mp3,0.7108829545156472,0.631739909604319,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0000315363,MT0000315363.mp3,0.7218449715404545,0.5559260678210678,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000317770,MT0000317770.mp3,0.6851476073993222,0.45965217388879404,Content/Relaxed,Neutral/Balanced,Q1,Happy/Energetic,Q4,False
MT0000325093,MT0000325093.mp3,0.6582712935502001,0.5656088712411671,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000344141,MT0000344141.mp3,0.6947028025668005,0.5975063277383428,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000364027,MT0000364027.mp3,0.6912104263618325,0.5298301339285714,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000369188,MT0000369188.mp3,0.6486582264373056,0.5816565179876776,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000392975,MT0000392975.mp3,0.6555868216074922,0.5341063579996392,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000400490,MT0000400490.mp3,0.6311790867029283,0.5659432204616955,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000401186,MT0000401186.mp3,0.5729017591065545,0.5199087547348487,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000401600,MT0000401600.mp3,0.7408709374102556,0.5796413538754018,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000414517,MT0000414517.mp3,0.5821886830357144,0.5775701871392496,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000426880,MT0000426880.mp3,0.6101015511434836,0.4669849779040403,Content/Relaxed,Neutral/Balanced,Q1,Happy/Energetic,Q4,False
MT0000434716,MT0000434716.mp3,0.5824141639610388,0.5978449156746031,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000442827,MT0000442827.mp3,0.6535845858134921,0.5022186334325398,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000475876,MT0000475876.mp3,0.6367145035346601,0.5877179790521978,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000481003,MT0000481003.mp3,0.5895194097429551,0.6592277455357141,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000497520,MT0000497520.mp3,0.6678863408385776,0.5507467625894819,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000518591,MT0000518591.mp3,0.644855354386272,0.6039480035824687,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0000522450,MT0000522450.mp3,0.6241593105158728,0.5586270908229954,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000540286,MT0000540286.mp3,0.687072985746892,0.5562234895833335,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000546446,MT0000546446.mp3,0.7279164204350004,0.553456975409047,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000556349,MT0000556349.mp3,0.7014102512160778,0.48524920138888866,Content/Relaxed,Neutral/Balanced,Q1,Happy/Energetic,Q4,False
MT0000581530,MT0000581530.mp3,0.5946336280212844,0.5252056243235931,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000615489,MT0000615489.mp3,0.5679432596371882,0.5519724919815847,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000621840,MT0000621840.mp3,0.6748606513261228,0.5949077418594608,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000664362,MT0000664362.mp3,0.6741011954365077,0.5175118680104619,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000672880,MT0000672880.mp3,0.6913835059905376,0.5346627800324675,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000704913,MT0000704913.mp3,0.7585155658618338,0.5557895420780289,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000712071,MT0000712071.mp3,0.7221488888888885,0.5693554365079363,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000712316,MT0000712316.mp3,0.49714272669423915,0.5363430938011677,Angry/Tense,Neutral/Balanced,Q1,Happy/Energetic,Q2,False
MT0000714708,MT0000714708.mp3,0.6393674692729657,0.5984089691123426,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000716124,MT0000716124.mp3,0.7204309495989604,0.6075034110536097,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0000721873,MT0000721873.mp3,0.7678594482472328,0.586463228336607,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000737624,MT0000737624.mp3,0.6680101636904762,0.4977443676635865,Content/Relaxed,Neutral/Balanced,Q1,Happy/Energetic,Q4,False
MT0000737807,MT0000737807.mp3,0.6543571750703486,0.5451394494047619,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000766316,MT0000766316.mp3,0.7010188913831849,0.5833318218776812,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000772749,MT0000772749.mp3,0.6848538688568379,0.6449443725198415,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0000773391,MT0000773391.mp3,0.6748587152777779,0.548841252652944,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000807741,MT0000807741.mp3,0.6988233728250919,0.6159375248015876,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0000826010,MT0000826010.mp3,0.6704401780029196,0.5846753646665837,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000851865,MT0000851865.mp3,0.655262688710901,0.5106551339285713,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000854722,MT0000854722.mp3,0.7141624001924004,0.47424017361111126,Content/Relaxed,Neutral/Balanced,Q1,Happy/Energetic,Q4,False
MT0000863543,MT0000863543.mp3,0.7552469386393384,0.469109935515873,Content/Relaxed,Neutral/Balanced,Q1,Happy/Energetic,Q4,False
MT0000865478,MT0000865478.mp3,0.6178304742563473,0.5720761672881688,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000871290,MT0000871290.mp3,0.6902804804655851,0.5091094667658732,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000875520,MT0000875520.mp3,0.6817825890602452,0.5923326586402293,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000886390,MT0000886390.mp3,0.693016869091454,0.448061488771645,Content/Relaxed,Neutral/Balanced,Q1,Happy/Energetic,Q4,False
MT0000897883,MT0000897883.mp3,0.639310818904339,0.5948439556369298,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000936370,MT0000936370.mp3,0.5318380555555556,0.52532283372158,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000948111,MT0000948111.mp3,0.7354218308179634,0.5520174826388888,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0000954088,MT0000954088.mp3,0.6577477250180379,0.4768383680555556,Content/Relaxed,Neutral/Balanced,Q1,Happy/Energetic,Q4,False
MT0000982297,MT0000982297.mp3,0.60947081849602,0.6444697891865079,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0000987523,MT0000987523.mp3,0.6055218375056713,0.6587486029439066,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0000992846,MT0000992846.mp3,0.6153609901275688,0.5663966797464854,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001026170,MT0001026170.mp3,0.6621519316271063,0.5799480416285104,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001053268,MT0001053268.mp3,0.706807412042403,0.5113255458705993,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001082164,MT0001082164.mp3,0.7206149229117726,0.5468793656012264,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001084444,MT0001084444.mp3,0.6155018271475255,0.6368832850829725,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0001117815,MT0001117815.mp3,0.6867759088301547,0.5418781770833333,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001135075,MT0001135075.mp3,0.6923745684523808,0.6305932541937227,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0001153847,MT0001153847.mp3,0.6478029270824297,0.5934839932306827,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001169715,MT0001169715.mp3,0.6559448494387558,0.6474522530324076,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0001189913,MT0001189913.mp3,0.775922327154601,0.545365498232364,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001193331,MT0001193331.mp3,0.7529069542992224,0.5546821955855951,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001202986,MT0001202986.mp3,0.6854692392172342,0.5494483134920637,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001217651,MT0001217651.mp3,0.6487654427083329,0.5957262215719353,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001234946,MT0001234946.mp3,0.5024011077290763,0.6634397579954678,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001236649,MT0001236649.mp3,0.6889544423834947,0.5671985285034054,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001243566,MT0001243566.mp3,0.6765972742384175,0.6515783464799091,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0001284282,MT0001284282.mp3,0.7632429386266522,0.6188168212673029,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0001289749,MT0001289749.mp3,0.6328919658189034,0.6500714675817879,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0001292451,MT0001292451.mp3,0.739889503968254,0.5251263771645022,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001318718,MT0001318718.mp3,0.7061893603378848,0.4820567210046897,Content/Relaxed,Neutral/Balanced,Q1,Happy/Energetic,Q4,False
MT0001335920,MT0001335920.mp3,0.7135078967733657,0.5016063542555412,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001340713,MT0001340713.mp3,0.6547477848833531,0.6513315284285015,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0001356476,MT0001356476.mp3,0.7014104427497848,0.6053319551369942,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0001391154,MT0001391154.mp3,0.6869870562770565,0.5669600351731601,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001418045,MT0001418045.mp3,0.6662332440476194,0.5968210137944102,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001486960,MT0001486960.mp3,0.7059008532786655,0.5251597767857143,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001497191,MT0001497191.mp3,0.6514399275266127,0.6086209199134199,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0001504929,MT0001504929.mp3,0.7347525471230155,0.6522990624999998,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0001509368,MT0001509368.mp3,0.5483026077568265,0.5546902804590303,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001514284,MT0001514284.mp3,0.5856714689834269,0.6000808625046987,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001521543,MT0001521543.mp3,0.6581612698652082,0.550669595508658,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001526514,MT0001526514.mp3,0.6794386379419192,0.5268302418402183,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001531856,MT0001531856.mp3,0.6945751849885741,0.5766670896367428,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001574245,MT0001574245.mp3,0.629633648313492,0.5938331984167006,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001586807,MT0001586807.mp3,0.6794535324224387,0.6035107589285713,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0001605268,MT0001605268.mp3,0.6780210301774021,0.560615822054523,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001609626,MT0001609626.mp3,0.5874425218354691,0.5328681329520831,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001610102,MT0001610102.mp3,0.7720585194319568,0.6033012016179311,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0001639011,MT0001639011.mp3,0.668283761841218,0.5778386939398604,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001671399,MT0001671399.mp3,0.6945179504527697,0.4827945089285718,Content/Relaxed,Neutral/Balanced,Q1,Happy/Energetic,Q4,False
MT0001680969,MT0001680969.mp3,0.6281173461781274,0.5547585267080153,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001696863,MT0001696863.mp3,0.636060470289409,0.622962789615662,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0001701648,MT0001701648.mp3,0.6070858655753967,0.4946850396825396,Content/Relaxed,Neutral/Balanced,Q1,Happy/Energetic,Q4,False
MT0001703346,MT0001703346.mp3,0.5890242938844114,0.5668356061733406,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001705355,MT0001705355.mp3,0.6871673129540476,0.5994585534048548,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001741017,MT0001741017.mp3,0.6758589720869408,0.5069446651785712,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001753457,MT0001753457.mp3,0.6520804613095236,0.5931639484126984,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001757676,MT0001757676.mp3,0.7007070757020757,0.5066517981150791,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001770136,MT0001770136.mp3,0.7293790648691065,0.6080975164585327,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0001795697,MT0001795697.mp3,0.7192441661961224,0.6030078048029559,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0001798303,MT0001798303.mp3,0.6260837605733083,0.6274913074557884,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0001829666,MT0001829666.mp3,0.7245236995699059,0.61222126669773,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0001831738,MT0001831738.mp3,0.7799436491872592,0.5717352768663586,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001855865,MT0001855865.mp3,0.6989723189570843,0.5243979890843282,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001889244,MT0001889244.mp3,0.722896561011218,0.5927054956019598,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001898830,MT0001898830.mp3,0.6413428213223527,0.5229553546060133,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001899867,MT0001899867.mp3,0.7354427452755581,0.578951908537108,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0001927015,MT0001927015.mp3,0.6903307644084478,0.5548008903816943,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0002006862,MT0002006862.mp3,0.6977471286889632,0.5246528287337664,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0002033629,MT0002033629.mp3,0.6548585579371565,0.6433801332277895,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0002034238,MT0002034238.mp3,0.7013106508133071,0.5919015653449374,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0002052101,MT0002052101.mp3,0.6989403078131262,0.5605606743777054,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0002053300,MT0002053300.mp3,0.640130365712714,0.6262594548160174,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0002068648,MT0002068648.mp3,0.7331077481302899,0.6024143094561557,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0002078701,MT0002078701.mp3,0.6722452636528099,0.5165388814484126,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0002088249,MT0002088249.mp3,0.7371803706993398,0.6276603848774398,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0002113056,MT0002113056.mp3,0.689571413690476,0.5140659375000002,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0002119439,MT0002119439.mp3,0.6686068481544872,0.6030807062728081,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0002139311,MT0002139311.mp3,0.5828410878704631,0.5223043726331366,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0002156561,MT0002156561.mp3,0.5901106374007937,0.5708960097156549,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0002161109,MT0002161109.mp3,0.7534636385836386,0.6021002694141266,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0002177145,MT0002177145.mp3,0.6604519021347008,0.562253743368514,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0002179342,MT0002179342.mp3,0.7361185768128686,0.5491900948427952,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0002219182,MT0002219182.mp3,0.6143461715367966,0.5876510399614135,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0002222957,MT0002222957.mp3,0.6670914293345543,0.6674958975787284,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0002242128,MT0002242128.mp3,0.6449365104166668,0.618952941468254,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0002262181,MT0002262181.mp3,0.6476931954677266,0.5788632547009467,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
MT0002294387,MT0002294387.mp3,0.7095053968258298,0.6147936208009142,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0002297016,MT0002297016.mp3,0.7255628301041632,0.63730825994818,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0002308613,MT0002308613.mp3,0.623292301054398,0.6158061698238272,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
MT0002323154,MT0002323154.mp3,0.6377776774267399,0.537777324032117,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
